#   theta(arcmin)  xip            xim            
    0.71336E+00    0.39470E-04    0.53472E-04
    0.14521E+01    0.46338E-04    0.88148E-05
    0.29558E+01    0.13324E-04   -0.46916E-05
    0.60168E+01    0.12635E-04    0.20088E-05
    0.12247E+02    0.29284E-05    0.48508E-05
    0.24930E+02    0.30581E-05   -0.89484E-06
    0.50747E+02    0.30268E-06    0.12954E-05
    0.10330E+03    0.83258E-06    0.83406E-06
    0.21027E+03   -0.41245E-07   -0.11494E-06
