#   theta(arcmin)  xip            xim            
    0.71336E+00    0.25348E-04   -0.34305E-04
    0.14521E+01    0.60702E-04    0.87652E-05
    0.29558E+01    0.17166E-04   -0.21738E-05
    0.60168E+01    0.14512E-04    0.53610E-05
    0.12247E+02    0.68783E-05    0.44845E-05
    0.24930E+02    0.39480E-05    0.28566E-06
    0.50747E+02    0.17749E-05    0.11605E-05
    0.10330E+03    0.33461E-06    0.71947E-06
    0.21027E+03   -0.44728E-07    0.65599E-07
