#   theta(arcmin)  xip            xim            
    0.71336E+00    0.28370E-04    0.14234E-04
    0.14521E+01    0.39469E-04    0.29586E-04
    0.29558E+01    0.24921E-04    0.26487E-06
    0.60168E+01    0.99883E-05    0.21003E-05
    0.12247E+02    0.54451E-05    0.44659E-05
    0.24930E+02    0.34438E-05    0.14284E-05
    0.50747E+02    0.23791E-05    0.14091E-05
    0.10330E+03    0.10366E-05    0.26693E-06
    0.21027E+03   -0.17744E-06    0.36825E-06
