#   theta(arcmin)  xip            xim            
    0.71336E+00    0.60597E-04   -0.10919E-03
    0.14521E+01    0.53508E-04    0.25435E-05
    0.29558E+01    0.40442E-04    0.12115E-04
    0.60168E+01    0.13693E-04    0.10396E-04
    0.12247E+02    0.74406E-05    0.75763E-05
    0.24930E+02    0.89074E-06    0.17524E-05
    0.50747E+02    0.66340E-06    0.80692E-06
    0.10330E+03   -0.59802E-06    0.97983E-06
    0.21027E+03   -0.28429E-06    0.57791E-06
