#   theta(arcmin)  xip            xim            
    0.71336E+00    0.78755E-04   -0.16977E-04
    0.14521E+01    0.29885E-04    0.47921E-04
    0.29558E+01    0.32540E-04    0.45318E-05
    0.60168E+01    0.13307E-04   -0.39361E-05
    0.12247E+02    0.55724E-05    0.23337E-05
    0.24930E+02    0.23530E-05    0.16615E-05
    0.50747E+02    0.23318E-05    0.14279E-05
    0.10330E+03   -0.46277E-06    0.80118E-06
    0.21027E+03   -0.28953E-06   -0.37664E-06
