#   theta(arcmin)  xip            xim            
    0.71336E+00    0.12523E-03    0.22943E-04
    0.14521E+01    0.85239E-04   -0.20192E-04
    0.29558E+01    0.39672E-04    0.21391E-04
    0.60168E+01    0.30803E-04    0.21456E-05
    0.12247E+02    0.92043E-05    0.80289E-05
    0.24930E+02    0.22760E-05    0.45213E-05
    0.50747E+02    0.28808E-05    0.12891E-05
    0.10330E+03    0.20385E-06    0.21173E-05
    0.21027E+03    0.17377E-06    0.87528E-06
