#   theta(arcmin)  xip            xim            
    0.71336E+00    0.24666E-03    0.60837E-04
    0.14521E+01    0.12642E-03    0.26634E-05
    0.29558E+01    0.68746E-04    0.10563E-04
    0.60168E+01    0.33117E-04    0.12164E-04
    0.12247E+02    0.14713E-04    0.10997E-04
    0.24930E+02    0.94981E-05    0.61845E-05
    0.50747E+02    0.98505E-06    0.55819E-05
    0.10330E+03    0.13684E-05    0.17552E-05
    0.21027E+03   -0.51120E-06    0.10121E-05
