#   theta(arcmin)  xip            xim            
    0.71336E+00    0.91971E-04   -0.68254E-05
    0.14521E+01    0.67197E-04    0.13271E-04
    0.29558E+01    0.39453E-04    0.20198E-04
    0.60168E+01    0.21991E-04    0.12014E-04
    0.12247E+02    0.78031E-05    0.25235E-05
    0.24930E+02    0.51295E-05    0.24250E-05
    0.50747E+02    0.19399E-06    0.23133E-05
    0.10330E+03    0.72903E-06    0.64686E-06
    0.21027E+03   -0.38301E-06    0.67247E-06
