#   theta(arcmin)  xip            xim            
    0.71336E+00    0.45716E-04    0.45651E-04
    0.14521E+01    0.74756E-04    0.24446E-04
    0.29558E+01    0.48920E-04    0.46165E-04
    0.60168E+01    0.13984E-04    0.13295E-04
    0.12247E+02    0.56129E-05    0.16549E-05
    0.24930E+02    0.63412E-05    0.26182E-05
    0.50747E+02    0.29252E-05    0.12977E-05
    0.10330E+03    0.10344E-05    0.79735E-06
    0.21027E+03   -0.10397E-05    0.33706E-06
