# z N(z) err_N(z)
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000278e-02 1.748309360346117503e-02 1.155237673129454537e-02
1.000000000000000056e-01 1.085990089446907392e-02 7.774450061125059465e-03
1.500000000000000222e-01 2.560417813515544760e-02 1.757812409464917097e-02
2.000000000000000111e-01 2.055202188622790374e-02 1.122262779435448908e-02
2.500000000000000000e-01 4.869368677157098410e-03 4.750573696727295771e-03
3.000000000000000444e-01 5.543895870004897364e-02 5.228312536319484893e-02
3.500000000000000333e-01 2.699534730435327115e-02 1.982123660166605281e-02
4.000000000000000222e-01 1.253077009505809691e-02 9.443109418255799664e-03
4.500000000000000111e-01 4.144851193396362904e-02 1.848498395028517691e-02
5.000000000000000000e-01 4.790832593829234126e-02 1.935957435105541483e-02
5.500000000000000444e-01 5.792532969112925562e-02 2.002010709321089613e-02
6.000000000000000888e-01 3.019324187502742673e-01 8.198411778726961974e-02
6.500000000000000222e-01 1.643670147431938400e+00 1.486189724227462428e-01
7.000000000000000666e-01 2.919435355206485116e+00 1.895508800799680094e-01
7.500000000000000000e-01 2.781592012640288214e+00 2.129646043599575378e-01
8.000000000000000444e-01 2.790589706006854964e+00 1.866467121928645501e-01
8.500000000000000888e-01 2.745513591351145699e+00 1.888824599678871896e-01
9.000000000000000222e-01 1.514866480915717295e+00 1.340179639933952449e-01
9.500000000000000666e-01 1.829571984381138661e+00 1.669522802116872318e-01
1.000000000000000000e+00 1.172606336614534062e+00 1.224899378363555336e-01
1.050000000000000044e+00 4.271427257114522313e-01 6.318472808523424578e-02
1.100000000000000089e+00 3.672122345183657099e-01 9.869364968680417738e-02
1.150000000000000133e+00 2.925815027393151024e-01 7.645945127554973353e-02
1.200000000000000178e+00 3.122332729054119738e-01 8.538217821266248786e-02
1.250000000000000000e+00 1.154410446761979375e-01 3.366633404369621246e-02
1.300000000000000044e+00 1.607826051139634171e-01 4.175653387735214078e-02
1.350000000000000089e+00 1.120324056520303202e-01 4.214836656195395520e-02
1.400000000000000133e+00 2.106046070967503014e-02 1.024067580001456965e-02
1.450000000000000178e+00 4.119690158292721449e-03 2.578232325431096313e-03
1.500000000000000000e+00 8.120380580092196460e-03 5.283673504088098535e-03
1.550000000000000044e+00 3.460253762803001124e-05 3.253197730703338700e-05
1.600000000000000089e+00 4.679376629975340839e-03 4.926265176787687772e-03
1.650000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 3.950442552804462118e-03 4.777740596468873363e-03
1.750000000000000000e+00 1.423888955580662665e-03 1.766968804644500173e-03
1.800000000000000044e+00 6.282811135968643587e-03 5.512079233374591811e-03
1.850000000000000089e+00 9.814815730351126102e-03 6.720432913632594200e-03
1.900000000000000133e+00 4.049804612010109856e-03 3.480579028230944630e-03
1.950000000000000178e+00 1.431566608742547604e-02 9.897645818666780254e-03
2.000000000000000000e+00 1.152898518984541180e-03 1.430507700840192437e-03
2.050000000000000266e+00 7.125930977226262522e-03 5.877904576308016701e-03
2.100000000000000089e+00 4.417628248327028044e-03 3.854524810769921483e-03
2.149999999999999911e+00 1.572646907666122194e-03 1.402488303894019453e-03
2.200000000000000178e+00 5.925345459076523588e-03 5.152300306809711600e-03
2.250000000000000000e+00 5.489643377672038388e-04 5.159108120058986764e-04
2.300000000000000266e+00 9.636419914265066666e-03 6.529230630218491559e-03
2.350000000000000089e+00 1.141392357670284420e-03 9.911231496237860213e-04
2.400000000000000355e+00 1.700891684772333891e-04 2.035234399182054297e-04
2.450000000000000178e+00 4.911490207819956683e-04 6.021928446451526315e-04
2.500000000000000000e+00 1.989100985352590042e-03 1.101857589135454103e-03
2.550000000000000266e+00 8.438530202724229407e-03 6.933048082617226243e-03
2.600000000000000089e+00 1.246502103478342783e-04 1.146001240804785245e-04
2.650000000000000355e+00 4.112676650646924364e-03 3.232681567320779166e-03
2.700000000000000178e+00 7.423204525543812549e-03 8.966190347858504772e-03
2.750000000000000000e+00 2.782666310053909676e-03 2.793649869259263573e-03
2.800000000000000266e+00 1.858101118399124946e-03 1.269557624190803362e-03
2.850000000000000089e+00 8.248633372744557449e-03 8.077268293154494030e-03
2.900000000000000355e+00 1.303057498416763200e-03 6.545993491466729026e-04
2.950000000000000178e+00 2.868614055751734517e-04 3.060588850146711971e-04
3.000000000000000000e+00 2.511835762073611270e-03 2.585667962225174799e-03
3.050000000000000266e+00 3.373829328998580179e-02 3.178466937340469756e-02
3.100000000000000089e+00 3.762052826094838039e-03 4.133930652774512465e-03
3.150000000000000355e+00 3.663334770559218290e-03 3.756632762468107515e-03
3.200000000000000178e+00 7.999117980806870866e-04 8.420634481778072489e-04
3.250000000000000000e+00 4.293938601708329855e-05 4.869678779972086029e-05
3.300000000000000266e+00 4.544205581735499317e-05 4.486049062936414282e-05
3.350000000000000089e+00 8.524886875865481575e-06 8.507263415718242235e-06
3.400000000000000355e+00 2.963704794941262184e-10 3.920446650086329438e-10
3.450000000000000178e+00 6.146573842057784087e-06 6.924559700409392707e-06
