# z N(z) err_N(z)
0.000000000000000000e+00 4.149145637690374380e-03 2.517423777284982442e-03
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 1.452248878753785097e-02 7.121671369883553031e-03
1.500000000000000222e-01 1.415886334846695738e-02 1.145462189491412881e-02
2.000000000000000111e-01 1.021794037329973835e-02 5.559911987788238204e-03
2.500000000000000000e-01 2.734869818655646587e-02 1.292872646944246556e-02
3.000000000000000444e-01 2.597211050854275616e-01 7.183645874665224584e-02
3.500000000000000333e-01 4.372622692292705282e-01 1.080074761545290057e-01
4.000000000000000222e-01 4.012791440167711721e-01 8.577422151032787490e-02
4.500000000000000111e-01 8.946980047639360167e-01 1.525252887110110089e-01
5.000000000000000000e-01 2.801274631971705897e+00 2.935022113505163510e-01
5.500000000000000444e-01 1.631394920841584772e+00 1.894633415099619966e-01
6.000000000000000888e-01 2.064442233053877640e+00 2.097592539837832559e-01
6.500000000000000222e-01 3.256629402360983860e+00 2.179318877019228995e-01
7.000000000000000666e-01 1.990250792776036670e+00 1.651225072019449347e-01
7.500000000000000000e-01 1.091268063960269430e+00 1.278388329375649002e-01
8.000000000000000444e-01 7.716209165169010120e-01 1.043947967284003797e-01
8.500000000000000888e-01 7.062614186424773788e-01 1.218608714089732259e-01
9.000000000000000222e-01 4.060336042883374019e-01 6.808414602190232534e-02
9.500000000000000666e-01 8.077217626149226781e-01 1.355693564336201418e-01
1.000000000000000000e+00 7.650863459343145712e-01 1.215195480861633454e-01
1.050000000000000044e+00 3.261002919118302645e-01 6.277767863581144858e-02
1.100000000000000089e+00 2.513794683626017212e-01 4.776848989492173819e-02
1.150000000000000133e+00 3.139012034352614555e-01 7.677755424761603664e-02
1.200000000000000178e+00 2.246717281605263850e-01 5.091242062900874776e-02
1.250000000000000000e+00 1.265251961922263524e-01 4.549045697700705021e-02
1.300000000000000044e+00 8.266291658058184944e-02 2.592699358193422884e-02
1.350000000000000089e+00 7.605114236238444403e-02 2.613436074763332562e-02
1.400000000000000133e+00 3.088462822752313305e-02 1.895086284658323295e-02
1.450000000000000178e+00 3.999554150196674325e-03 3.782356518430995788e-03
1.500000000000000000e+00 1.341487448094866308e-02 1.278276389399313900e-02
1.550000000000000044e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000089e+00 2.116809565294126838e-02 1.944970447876682995e-02
1.650000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000044e+00 1.837607481871135224e-03 2.300608766655989987e-03
1.850000000000000089e+00 5.133498023556982330e-04 1.557905502069587131e-03
1.900000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.050000000000000266e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.100000000000000089e+00 2.034967040343638092e-03 1.900360651474195363e-03
2.149999999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.250000000000000000e+00 3.313829166654820926e-04 4.231049429716124085e-04
2.300000000000000266e+00 4.824411918757028593e-03 4.961386522024837341e-03
2.350000000000000089e+00 2.875707150456015929e-05 4.013790212995226183e-05
2.400000000000000355e+00 5.507665800712571898e-03 6.281017213404640163e-03
2.450000000000000178e+00 7.125765764670219556e-03 8.482950003115484819e-03
2.500000000000000000e+00 7.651550453905022094e-03 8.019253790860110531e-03
2.550000000000000266e+00 8.550396299200515964e-04 1.105003472154984833e-03
2.600000000000000089e+00 4.553819782196880800e-03 5.196496957056032616e-03
2.650000000000000355e+00 4.772731365930987790e-02 3.763096525282556143e-02
2.700000000000000178e+00 8.458369952301719123e-04 1.232223457960137866e-03
2.750000000000000000e+00 2.503737117027923613e-03 2.399912302880744929e-03
2.800000000000000266e+00 8.195511637149760845e-03 7.175767054590491412e-03
2.850000000000000089e+00 1.384426480994101335e-03 1.332454075286261877e-03
2.900000000000000355e+00 2.412218726651271100e-03 2.636426747396586334e-03
2.950000000000000178e+00 3.327738071014480787e-10 3.229045106382561506e-10
3.000000000000000000e+00 3.709427766457792149e-03 3.747379881226898211e-03
3.050000000000000266e+00 1.688293188917808479e-03 1.740245286978900786e-03
3.100000000000000089e+00 1.379209859757104910e-02 1.356727108913857900e-02
3.150000000000000355e+00 7.194541871365054699e-05 8.076426236169335275e-05
3.200000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.250000000000000000e+00 1.630160232134348838e-02 2.085366727904013756e-02
3.300000000000000266e+00 2.690217392591443685e-03 4.887272148289301642e-03
3.350000000000000089e+00 9.605967282325754007e-05 9.004431828931265178e-05
3.400000000000000355e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.450000000000000178e+00 3.721614112214795267e-02 3.634228150753131270e-02
