#   i theta(i)' xip/m(i)(p=1 m=2) itomo jtomo
    1    0.713    0.60597E-04   1   1   1
    2    1.452    0.53508E-04   1   1   1
    3    2.956    0.40442E-04   1   1   1
    4    6.017    0.13693E-04   1   1   1
    5   12.247    0.74406E-05   1   1   1
    6   24.930    0.89074E-06   1   1   1
    7   50.747    0.66340E-06   1   1   1
    8    6.017    0.10396E-04   2   1   1
    9   12.247    0.75763E-05   2   1   1
   10   24.930    0.17524E-05   2   1   1
   11   50.747    0.80692E-06   2   1   1
   12  103.300    0.97983E-06   2   1   1
   13  210.270    0.57791E-06   2   1   1
   14    0.713    0.39470E-04   1   1   2
   15    1.452    0.46338E-04   1   1   2
   16    2.956    0.13324E-04   1   1   2
   17    6.017    0.12635E-04   1   1   2
   18   12.247    0.29284E-05   1   1   2
   19   24.930    0.30581E-05   1   1   2
   20   50.747    0.30268E-06   1   1   2
   21    6.017    0.20088E-05   2   1   2
   22   12.247    0.48508E-05   2   1   2
   23   24.930   -0.89484E-06   2   1   2
   24   50.747    0.12954E-05   2   1   2
   25  103.300    0.83406E-06   2   1   2
   26  210.270   -0.11494E-06   2   1   2
   27    0.713    0.25348E-04   1   1   3
   28    1.452    0.60702E-04   1   1   3
   29    2.956    0.17166E-04   1   1   3
   30    6.017    0.14512E-04   1   1   3
   31   12.247    0.68783E-05   1   1   3
   32   24.930    0.39480E-05   1   1   3
   33   50.747    0.17749E-05   1   1   3
   34    6.017    0.53610E-05   2   1   3
   35   12.247    0.44845E-05   2   1   3
   36   24.930    0.28566E-06   2   1   3
   37   50.747    0.11605E-05   2   1   3
   38  103.300    0.71947E-06   2   1   3
   39  210.270    0.65599E-07   2   1   3
   40    0.713    0.91971E-04   1   1   4
   41    1.452    0.67197E-04   1   1   4
   42    2.956    0.39453E-04   1   1   4
   43    6.017    0.21991E-04   1   1   4
   44   12.247    0.78031E-05   1   1   4
   45   24.930    0.51295E-05   1   1   4
   46   50.747    0.19399E-06   1   1   4
   47    6.017    0.12014E-04   2   1   4
   48   12.247    0.25235E-05   2   1   4
   49   24.930    0.24250E-05   2   1   4
   50   50.747    0.23133E-05   2   1   4
   51  103.300    0.64686E-06   2   1   4
   52  210.270    0.67247E-06   2   1   4
   53    0.713    0.78755E-04   1   2   2
   54    1.452    0.29885E-04   1   2   2
   55    2.956    0.32540E-04   1   2   2
   56    6.017    0.13307E-04   1   2   2
   57   12.247    0.55724E-05   1   2   2
   58   24.930    0.23530E-05   1   2   2
   59   50.747    0.23318E-05   1   2   2
   60    6.017   -0.39361E-05   2   2   2
   61   12.247    0.23337E-05   2   2   2
   62   24.930    0.16615E-05   2   2   2
   63   50.747    0.14279E-05   2   2   2
   64  103.300    0.80118E-06   2   2   2
   65  210.270   -0.37664E-06   2   2   2
   66    0.713    0.28370E-04   1   2   3
   67    1.452    0.39469E-04   1   2   3
   68    2.956    0.24921E-04   1   2   3
   69    6.017    0.99883E-05   1   2   3
   70   12.247    0.54451E-05   1   2   3
   71   24.930    0.34438E-05   1   2   3
   72   50.747    0.23791E-05   1   2   3
   73    6.017    0.21003E-05   2   2   3
   74   12.247    0.44659E-05   2   2   3
   75   24.930    0.14284E-05   2   2   3
   76   50.747    0.14091E-05   2   2   3
   77  103.300    0.26693E-06   2   2   3
   78  210.270    0.36825E-06   2   2   3
   79    0.713    0.17343E-04   1   2   4
   80    1.452    0.72484E-04   1   2   4
   81    2.956    0.55613E-04   1   2   4
   82    6.017    0.27728E-05   1   2   4
   83   12.247    0.46069E-05   1   2   4
   84   24.930    0.26994E-05   1   2   4
   85   50.747    0.16243E-05   1   2   4
   86    6.017    0.75648E-05   2   2   4
   87   12.247    0.42290E-05   2   2   4
   88   24.930    0.24481E-05   2   2   4
   89   50.747    0.17834E-05   2   2   4
   90  103.300    0.81001E-06   2   2   4
   91  210.270    0.66433E-06   2   2   4
   92    0.713    0.45716E-04   1   3   3
   93    1.452    0.74756E-04   1   3   3
   94    2.956    0.48920E-04   1   3   3
   95    6.017    0.13984E-04   1   3   3
   96   12.247    0.56129E-05   1   3   3
   97   24.930    0.63412E-05   1   3   3
   98   50.747    0.29252E-05   1   3   3
   99    6.017    0.13295E-04   2   3   3
  100   12.247    0.16549E-05   2   3   3
  101   24.930    0.26182E-05   2   3   3
  102   50.747    0.12977E-05   2   3   3
  103  103.300    0.79735E-06   2   3   3
  104  210.270    0.33706E-06   2   3   3
  105    0.713    0.12523E-03   1   3   4
  106    1.452    0.85239E-04   1   3   4
  107    2.956    0.39672E-04   1   3   4
  108    6.017    0.30803E-04   1   3   4
  109   12.247    0.92043E-05   1   3   4
  110   24.930    0.22760E-05   1   3   4
  111   50.747    0.28808E-05   1   3   4
  112    6.017    0.21456E-05   2   3   4
  113   12.247    0.80289E-05   2   3   4
  114   24.930    0.45213E-05   2   3   4
  115   50.747    0.12891E-05   2   3   4
  116  103.300    0.21173E-05   2   3   4
  117  210.270    0.87528E-06   2   3   4
  118    0.713    0.24666E-03   1   4   4
  119    1.452    0.12642E-03   1   4   4
  120    2.956    0.68746E-04   1   4   4
  121    6.017    0.33117E-04   1   4   4
  122   12.247    0.14713E-04   1   4   4
  123   24.930    0.94981E-05   1   4   4
  124   50.747    0.98505E-06   1   4   4
  125    6.017    0.12164E-04   2   4   4
  126   12.247    0.10997E-04   2   4   4
  127   24.930    0.61845E-05   2   4   4
  128   50.747    0.55819E-05   2   4   4
  129  103.300    0.17552E-05   2   4   4
  130  210.270    0.10121E-05   2   4   4
